Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
BODY,-6.60E-06,6.03E-07,-0.0033948,0,0,0,7.1237,0.05681,0,-1.00E-05,0.07575,-1.00E-05,0.10574,0,0,0,0,0,0,package://robot-Bigdog-A.SLDASM/meshes/BODY.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://robot-Bigdog-A.SLDASM/meshes/BODY.STL,,装配�?^robot-Bigdog-A-1/0001_ASM-1,BODY,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FR_1,0.061252,0.0085205,0.00031161,0,0,0,0.33434,0.00024,-1.00E-05,0,0.00041,0,0.00029,0,0,0,0,0,0,package://robot-Bigdog-A.SLDASM/meshes/FR_1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://robot-Bigdog-A.SLDASM/meshes/FR_1.STL,,装配�?^robot-Bigdog-A-1/A0002_ASM-2,FR_1,FR_1A,FR_1A,revolute,0.1393,-0.061,0,0,0,0,BODY,1,0,0,100,50,-3.14,3.14,,,,,,,,
FR_2,-0.033941,-0.061444,-0.031612,0,0,0,1.1104,0.00351,-0.00045,-0.00244,0.00607,-0.00042,0.00358,0,0,0,0,0,0,package://robot-Bigdog-A.SLDASM/meshes/FR_2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://robot-Bigdog-A.SLDASM/meshes/FR_2.STL,,装配�?^robot-Bigdog-A-1/复件 装配�?^装配�?_robot-Bigdog-A-1,FR_2,FR_2A,FR_2A,revolute,0.065,-0.0115,0,0,0,0,FR_1,0,1,0,100,50,-3.14,3.14,,,,,,,,
FR_3,0.052368,-0.016301,-0.063878,0,0,0,0.10582,0.00037,0,0.00029,0.00061,0,2.50E-04,0,0,0,0,0,0,package://robot-Bigdog-A.SLDASM/meshes/FR_3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://robot-Bigdog-A.SLDASM/meshes/FR_3.STL,,装配�?^robot-Bigdog-A-1/复件 (4) 装配�?^装配�?_robot-Bigdog-A-1,FR_3,FR_3A,FR_3A,revolute,-0.1247,-0.0572,-0.14861,0,0,0,FR_2,0,1,0,100,50,-3.14,3.14,,,,,,,,
FR_4,0.0017765,3.10E-07,-0.011458,0,0,0,0.034657,5.64E-06,1.85E-09,2.00E-07,8.22E-06,2.62E-10,6.99E-06,0,0,0,0,0,0,package://robot-Bigdog-A.SLDASM/meshes/FR_4.STL,1,1,1,1,0,0,0,0,0,0,package://robot-Bigdog-A.SLDASM/meshes/FR_4.STL,,装配�?^robot-Bigdog-A-1/00-4,FR_4,,FR_4A,fixed,0.11222,-0.0163,-0.14758,0,0,0,FR_3,0,0,0,,,,,,,,,,,,
FL_1,0.061256,-0.0085206,0.00028119,0,0,0,0.33435,0.00024,1.00E-05,0,0.00041,0,0.00029,0,0,0,0,0,0,package://robot-Bigdog-A.SLDASM/meshes/FL_1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://robot-Bigdog-A.SLDASM/meshes/FL_1.STL,,装配�?^robot-Bigdog-A-1/B0007_ASM-2,FL_1,FL_1A,FL_1A,revolute,0.1393,0.061,0,0,0,0,BODY,1,0,0,100,50,-3.14,3.14,,,,,,,,
FL_2,-0.033941,0.061444,-0.031616,0,0,0,1.1103,0.00351,0.00045,-0.00244,0.00607,0.00042,0.00358,0,0,0,0,0,0,package://robot-Bigdog-A.SLDASM/meshes/FL_2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://robot-Bigdog-A.SLDASM/meshes/FL_2.STL,,装配�?^robot-Bigdog-A-1/复件 装配�?^装配�?_robot-Bigdog-A-1,FL_2,FL_2A,FL_2A,revolute,0.065,0.0115,0,0,0,0,FL_1,0,1,0,100,50,-3.14,3.14,,,,,,,,
FL_3,0.052437,0.016299,-0.063821,0,0,0,0.10582,0.00037,0,0.00029,0.00061,0,2.50E-04,0,0,0,0,0,0,package://robot-Bigdog-A.SLDASM/meshes/FL_3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://robot-Bigdog-A.SLDASM/meshes/FL_3.STL,,装配�?^robot-Bigdog-A-1/复件 (3) 装配�?^装配�?_robot-Bigdog-A-1,FL_3,FL_3A,FL_3A,revolute,-0.1247,0.0572,-0.14861,0,0,0,FL_2,0,1,0,100,50,-3.14,3.14,,,,,,,,
FL_4,0.001788913,3.10E-07,-0.011455602,0,0,0,0.034656887,5.64E-06,1.85E-09,2.01E-07,8.22E-06,2.64E-10,6.99E-06,0,0,0,0,0,0,package://robot-Bigdog-A.SLDASM/meshes/FL_4.STL,1,1,1,1,0,0,0,0,0,0,package://robot-Bigdog-A.SLDASM/meshes/FL_4.STL,,装配�?^robot-Bigdog-A-1/00-3,FL_4,,FL_4A,fixed,0.11238,0.0163,-0.14746,0,0,0,FL_3,0,0,0,,,,,,,,,,,,
BR_1,-0.061256,0.0085206,0.00028119,0,0,0,0.33435,0.00024,1.00E-05,0,0.00041,0,0.00029,0,0,0,0,0,0,package://robot-Bigdog-A.SLDASM/meshes/BR_1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://robot-Bigdog-A.SLDASM/meshes/BR_1.STL,,装配�?^robot-Bigdog-A-1/B0007_ASM-1,BR_1,BR_1A,BR_1A,revolute,-0.1393,-0.061,0,0,0,0,BODY,1,0,0,100,50,-3.14,3.14,,,,,,,,
BR_2,-0.033941,-0.061444,-0.031612,0,0,0,1.1104,0.00351,-0.00045,-0.00244,0.00607,-0.00042,0.00358,0,0,0,0,0,0,package://robot-Bigdog-A.SLDASM/meshes/BR_2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://robot-Bigdog-A.SLDASM/meshes/BR_2.STL,,装配�?^robot-Bigdog-A-1/复件 装配�?^装配�?_robot-Bigdog-A-1,BR_2,BR_2A,BR_2A,revolute,-0.065,-0.0115,0,0,0,0,BR_1,0,1,0,100,50,-3.14,3.14,,,,,,,,
BR_3,0.052359,-0.016301,-0.063885,0,0,0,0.10582,0.00037,0,0.00029,0.00061,0,2.50E-04,0,0,0,0,0,0,package://robot-Bigdog-A.SLDASM/meshes/BR_3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://robot-Bigdog-A.SLDASM/meshes/BR_3.STL,,装配�?^robot-Bigdog-A-1/复件 (2) 装配�?^装配�?_robot-Bigdog-A-1,BR_3,BR_3A,BR_3A,revolute,-0.1247,-0.0572,-0.14861,0,0,0,BR_2,0,1,0,100,50,-3.14,3.14,,,,,,,,
BR_4,0.001774991,3.10E-07,-0.011457768,0,0,0,0.034656889,5.64E-06,1.85E-09,2.00E-07,8.22E-06,2.62E-10,6.99E-06,0,0,0,0,0,0,package://robot-Bigdog-A.SLDASM/meshes/BR_4.STL,1,1,1,1,0,0,0,0,0,0,package://robot-Bigdog-A.SLDASM/meshes/BR_4.STL,,装配�?^robot-Bigdog-A-1/00-2,BR_4,,BR_4A,fixed,0.1122,-0.0163,-0.14759,0,0,0,BR_3,0,0,0,,,,,,,,,,,,
BL_1,-0.061252,-0.0085205,0.00031161,0,0,0,0.33434,0.00024,-1.00E-05,0,0.00041,0,0.00029,0,0,0,0,0,0,package://robot-Bigdog-A.SLDASM/meshes/BL_1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://robot-Bigdog-A.SLDASM/meshes/BL_1.STL,,装配�?^robot-Bigdog-A-1/A0002_ASM-1,BL_1,BL_1A,BL_1A,revolute,-0.1393,0.061,0,0,0,0,BODY,1,0,0,100,50,-3.14,3.14,,,,,,,,
BL_2,-0.033941,0.061444,-0.031616,0,0,0,1.1103,0.00351,0.00045,-0.00244,0.00607,0.00042,0.00358,0,0,0,0,0,0,package://robot-Bigdog-A.SLDASM/meshes/BL_2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://robot-Bigdog-A.SLDASM/meshes/BL_2.STL,,装配�?^robot-Bigdog-A-1/复件 装配�?^装配�?_robot-Bigdog-A-1,BL_2,BL_2A,BL_2A,revolute,-0.065,0.0115,0,0,0,0,BL_1,0,1,0,100,50,-3.14,3.14,,,,,,,,
